snake model,order,subj,sex,FR,BS,GP,PR,PD,VO,TT
BB,12,GD,M,2,0,29.22664365,0,79,0,324.43
BB,12,MM,F,1,0,37.71006754,0,130,2,63.67
BB,12,RB,F,0,0,11.9873817,71,71,0,6.34
BB,12,CN,M,0,0,46.77187948,67,67,0,20.91
BB,12,BK,M,0,0,12.30972866,23,87,0,256.87
BB,12,TT,M,2,0,8.542839723,0,55,0,278.83
BB,12,KL,F,4,0,36.26048347,87,91,1,40.54
BB,12,BB2,F,8,0,20.3,36,51,12,20
BB,13,TG,F,0,0,31.82703545,52,95,0,51.34
BB,13,MN,F,9,0,11.47418309,27,93,11,200.45
BB,13,TT,M,0,0,7.651540245,87,95,0,60.38
BB,13,MM,F,1,0,8.775313404,66,81,0,93.33
BB,13,KL,F,0,0,50.93696763,115,120,0,5.87
BB,13,BK,M,0,0,35.52550707,150,187,0,32.54
BB,14,BT,F,2,0,35.65683646,55,65,0,18.65
BB,14,BB2,F,1,0,27.20114531,67,125,1,13.97
BB,14,TD,F,1,0,14.03638151,65,70,1,40.68
BB,14,TG2,M,0,0,38.50746269,65,65,0,10.05
BB,14,BB1,F,2,0,19.7309417,105,115,2,13.38
BB,14,CC,M,0,0,50.22970904,65,67,0,13.06
BB,15,TG2,M,0,0,34.29027113,8,55,0,6.27
BB,15,BB2,F,2,0,21.00760456,28,35,3,10.52
BB,15,GD,M,2,0,19.60155491,50,75,0,102.9
BB,15,LL,F,3,0,34.65583174,74,87,0,41.84
BB,15,RM,F,7,0,37.00934579,155,160,20,42.8
BB,15,RB,F,2,0,18.12933025,185,185,2,17.32
BB,15,TT,M,0,0,24.2074928,85,75,0,31.23
