snake_type,id,cd,f0,d0,bw,numnotes,onset,offset,overall_transition
CV,keh,0.065011,2013.33,4155,1460.856,1,201.999,1239.366,-1441.37
CV,keh,0.060947,1107.318,3590.517,712.66,1,179.399,358.795,-538.194
CV,keh,0.053753,1262.315,2070.428,927.278,1,230.596,553.393,-783.989
CV,keh,0.070057,1598.61,4188.734,748.032,1,60.441,880.227,-940.668
CV,keh,0.062699,1625.802,3250.052,773.042,1,-187.343,1051.999,-864.656
PY,kia,0.040762,1653.049,2551.06,317.305,1,103.217,73.062,-176.279
PY,kia,0.063733,1064.402,2611.244,671.856,1,402.79,227.748,-630.538
PY,kia,0.110193,1458.969,2931.042,513.682,1,239.112,251.981,-491.093
PY,kia,0.076629,1960.28,3860.735,371.028,1,182.491,418.593,-601.084
BB,ker,0.089146,1434.338,2933.249,1177.019,2,-245.528,390.168,-144.64
CV,ker,0.080358,849.54,3600.939,434.046,2,-333.601,384.835,-51.234
CV,ker,0.094487,1301.281,4008.55,985.464,2,-380.31,902.396,-522.086
PY,ker,0.109874,861.644,3518.114,446.928,2,-162.72,401.273,-238.553
PY,ker,0.160896,766.317,4301.184,165.109,2,-66.032,112.103,-46.071
CV,ker,0.092818,1755.789,5561.886,1644.446,2,429.909,1006.115,-1436.02
CV,ker,0.108759,1957.764,2950.288,446.342,1,-138.603,130.364,8.239
CV,ker,0.112005,869.999,2936.919,209.476,2,64.827,198.786,-263.613
CV,ker,0.06339,961.215,3281.761,488.332,2,-369.248,479.761,-110.513
PY,k-krah,0.105805,1252.042,4628.478,851.712,2,-565.488,375.848,189.64
PY,k-krah,0.10662,1691.894,3111.664,327.561,2,155.586,-64.452,-91.134
PY,k-krah,0.223181,1785.437,3519.994,412.125,2,176.208,-166.147,-10.061
PY,k-krah,0.135962,1593.351,4344.127,545.56,2,-555.214,348.232,206.982
PY,k-krah,0.195186,1896.937,3111.798,899.97,2,-742.074,-101.759,843.833
