,rank,CV,BB,PY
CN,1,0.09090909090909091,0.0,0.0
WN,2,0.0,0.0,0.0
TG2,3,0.09090909090909091,0.1,0.0
MM,4,0.18181818181818182,0.0,0.0
EN,5,0.0,0.0,0.0
TT,6,0.0,0.1,0.0
WI,7,0.0,0.0,0.0
KL,8,0.09090909090909091,0.0,0.0
RB,9,0.0,0.0,0.0
MN,10,0.0,0.1,0.0
BB1,11,0.0,0.0,0.0
GD,12,0.0,0.1,0.0
CC,13,0.0,0.0,0.0
YLJ,14,0.0,0.0,0.0
BD,15,0.0,0.1,0.0
RM,16,0.0,0.1,0.5
BK,17,0.0,0.0,0.0
GN,18,0.0,0.0,0.5
YL,19,0.18181818181818182,0.0,0.0
TD,20,0.0,0.0,0.0
LL,21,0.18181818181818182,0.1,0.0
BT,22,0.0,0.1,0.0
LK,23,0.09090909090909091,0.0,0.0
BB2,24,0.0,0.1,0.0
TM,25,0.09090909090909091,0.0,0.0
BN,26,0.0,0.0,0.0
KI2,27,0.0,0.0,0.0
TG,28,0.0,0.1,0.0
