gp,model,order,subj,sex
29.22664365,bb,12,GD,M
37.71006754,bb,12,MM,F
11.9873817,bb,12,RB,F
46.77187948,bb,12,CN,M
12.30972866,bb,12,BK,M
8.542839723,bb,12,TT,M
36.26048347,bb,12,KL,F
20.3,bb,12,BB2,F
31.82703545,bb,13,TG,F
11.47418309,bb,13,MN,F
7.651540245,bb,13,TT,M
8.775313404,bb,13,MM,F
50.93696763,bb,13,KL,F
35.52550707,bb,13,BK,M
35.65683646,bb,14,BT,F
27.20114531,bb,14,BB2,F
14.03638151,bb,14,TD,F
38.50746269,bb,14,TG2,M
19.7309417,bb,14,BB1,F
50.22970904,bb,14,CC,M
34.29027113,bb,15,TG2,M
21.00760456,bb,15,BB2,F
19.60155491,bb,15,GD,M
34.65583174,bb,15,LL,F
37.00934579,bb,15,RM,F
18.12933025,bb,15,RB,F
24.2074928,bb,15,TT,M
52.14399153,cv,1,CN,M
67.27183513,cv,1,WT,F
71.31433556,cv,1,MM,F
51.19617225,cv,1,MN,F
63.46153846,cv,1,LL,F
50.55393586,cv,1,TG,F
24.63496818,cv,1,TG2,M
27.64051884,cv,1,BT,F
51.03833866,cv,1,RB,F
30.03713113,cv,1,GN,F
26.62425696,cv,2,GD,M
33.04347826,cv,2,TT,M
36.14822733,cv,3,YL,M
26.62425696,cv,3,TT,M
33.04347826,cv,3,MM,F
24.72683124,cv,5,LL,F
52.30460922,cv,5,MM,F
53.42857143,cv,5,MN,F
77.00072098,cv,5,TT,M
64.4028103,cv,5,KL,F
73.28015952,cv,5,TM,F
18.86387996,cv,5,BT,F
73.35805085,cv,5,TD,F
43.58722359,cv,5,CC,M
28.4426922,cv,5,RB,F
41.2822819,cv,5,GD,M
39.58753966,cv,5,RM,F
18.30708661,cv,5,CN,M
74.53416149,cv,5,BK,M
28.44186047,cv,5,BB2,F
72.14038128,cv,5,YL,M
16.63244353,cv,6,TG2,M
63.09285237,cv,7,TM,F
36.39417693,cv,7,BB2,F
43.87696981,cv,7,MM,F
6.865671642,cv,10,LL,F
42.26,cv,10,YL,M
48.12182741,cv,10,KL,F
45.37675776,cv,10,RM,F
48.04643507,cv,10,MM,F
15.72208624,cv,10,GN,F
60.03546773,cv,10,BK,M
16.83978596,cv,10,BB2,F
29.85847428,cv,10,TG2,M
51.58166559,cv,10,MN,F
22.31457801,cv,10,GD,M
74.35233161,py,4,RM,F
70.96774194,py,4,EN,F
73.83716576,py,4,RB,F
57.86121031,py,4,MM,F
65.55757209,py,4,BB1,F
55.25987674,py,4,TT,M
64.32616082,py,4,KL,F
65.60123443,py,4,BB2,F
45.53775744,py,4,GN,F
54.83672212,py,4,TD,F
47.68529076,py,4,TG,F
46.96158797,py,4,BK,M
51.51765679,py,4,LL,F
79.72151899,py,4,TM,F
64.53312051,py,4,YL,M
51.05077769,py,4,GD,M
52.84104825,py,4,WT,F
34.89304813,py,4,CN,M
71.38301923,py,4,CC,M
48.65190541,py,9,RM,F
74.33493496,py,9,CC,M
73.74301676,py,11,GN,F
26.68559262,py,11,CN,M
65.57837458,py,11,TG2,M
