pd,model,order,subj,sex
79,bb,12,GD,M
130,bb,12,MM,F
71,bb,12,RB,F
67,bb,12,CN,M
87,bb,12,BK,M
55,bb,12,TT,M
91,bb,12,KL,F
51,bb,12,BB2,F
95,bb,13,TG,F
93,bb,13,MN,F
95,bb,13,TT,M
81,bb,13,MM,F
120,bb,13,KL,F
187,bb,13,BK,M
65,bb,14,BT,F
125,bb,14,BB2,F
70,bb,14,TD,F
65,bb,14,TG2,M
115,bb,14,BB1,F
67,bb,14,CC,M
55,bb,15,TG2,M
35,bb,15,BB2,F
75,bb,15,GD,M
87,bb,15,LL,F
160,bb,15,RM,F
185,bb,15,RB,F
75,bb,15,TT,M
160,cv,1,CN,M
150,cv,1,WT,F
160,cv,1,MM,F
160,cv,1,MN,F
160,cv,1,LL,F
160,cv,1,TG,F
160,cv,1,TG2,M
150,cv,1,BT,F
165,cv,1,RB,F
240,cv,1,GN,F
200,cv,2,GD,M
155,cv,2,TT,M
135,cv,3,YL,M
200,cv,3,TT,M
155,cv,3,MM,F
45,cv,5,LL,F
80,cv,5,MM,F
71,cv,5,MN,F
102,cv,5,TT,M
70,cv,5,KL,F
73,cv,5,TM,F
111,cv,5,BT,F
122,cv,5,TD,F
92,cv,5,CC,M
115,cv,5,RB,F
46,cv,5,GD,M
91,cv,5,RM,F
139,cv,5,CN,M
13,cv,5,BK,M
140,cv,5,BB2,F
42,cv,5,YL,M
125,cv,6,TG2,M
220,cv,7,TM,F
173,cv,7,BB2,F
81,cv,7,MM,F
50,cv,10,LL,F
550,cv,10,YL,M
52,cv,10,KL,F
51,cv,10,RM,F
83,cv,10,MM,F
90,cv,10,GN,F
54,cv,10,BK,M
109,cv,10,BB2,F
86,cv,10,TG2,M
85,cv,10,MN,F
85,cv,10,GD,M
250,py,4,RM,F
109,py,4,EN,F
197,py,4,RB,F
125,py,4,MM,F
125,py,4,BB1,F
110,py,4,TT,M
225,py,4,KL,F
135,py,4,BB2,F
170,py,4,GN,F
94,py,4,TD,F
115,py,4,TG,F
138,py,4,BK,M
189,py,4,LL,F
115,py,4,TM,F
88,py,4,YL,M
210,py,4,GD,M
171,py,4,WT,F
140,py,4,CN,M
168,py,4,CC,M
240,py,9,RM,F
250,py,9,CC,M
157,py,11,GN,F
157,py,11,CN,M
210,py,11,TG2,M
